date_time,sku,quantity_demanded,customer_id,order_type,price,demand_source,lead_time_days
1/1/2024,SKU_1,16,Cust_8,Online,63.72,Mobile App,4
1/1/2024,SKU_1,23,Cust_11,Wholesale,87.96,Distributor,5
1/1/2024,SKU_1,16,Cust_1,Retail,57.23,Distributor,2
1/2/2024,SKU_1,56,Cust_10,Wholesale,51.05,Store,3
1/3/2024,SKU_1,20,Cust_3,Online,64.68,Website,2
1/3/2024,SKU_1,19,Cust_7,Retail,95.4,Distributor,3
1/3/2024,SKU_1,16,Cust_2,Wholesale,71.49,Distributor,2
1/4/2024,SKU_1,20,Cust_15,Wholesale,91.84,Distributor,3
1/4/2024,SKU_1,7,Cust_6,Retail,59.2,Mobile App,2
1/4/2024,SKU_1,21,Cust_18,Retail,50.48,Mobile App,3
1/4/2024,SKU_1,16,Cust_15,Retail,27.64,Website,3
1/5/2024,SKU_1,16,Cust_16,Online,34.42,Website,5
1/5/2024,SKU_1,6,Cust_13,Online,36.66,Website,2
1/5/2024,SKU_1,9,Cust_7,Online,79.5,Distributor,5
1/5/2024,SKU_1,21,Cust_1,Wholesale,16.66,Store,3
1/6/2024,SKU_1,39,Cust_7,Online,66.1,Mobile App,2
1/7/2024,SKU_1,14,Cust_5,Wholesale,63.22,Mobile App,4
1/7/2024,SKU_1,4,Cust_3,Online,44.46,Store,3
1/7/2024,SKU_1,10,Cust_14,Wholesale,13.64,Store,4
1/7/2024,SKU_1,11,Cust_10,Online,28.15,Distributor,4
1/8/2024,SKU_1,60,Cust_5,Wholesale,64.4,Store,4
1/9/2024,SKU_1,48,Cust_4,Online,16.93,Store,4
1/10/2024,SKU_1,31,Cust_6,Retail,89.5,Distributor,3
1/10/2024,SKU_1,35,Cust_7,Retail,19.9,Website,4
1/11/2024,SKU_1,24,Cust_9,Retail,29.99,Store,3
1/11/2024,SKU_1,26,Cust_12,Wholesale,25.15,Distributor,5
1/12/2024,SKU_1,9,Cust_17,Retail,96.62,Mobile App,4
1/12/2024,SKU_1,23,Cust_2,Wholesale,37.08,Website,5
1/12/2024,SKU_1,15,Cust_2,Retail,12.97,Distributor,2
1/12/2024,SKU_1,12,Cust_1,Wholesale,71.26,Website,5
1/13/2024,SKU_1,22,Cust_17,Wholesale,82.28,Website,5
1/13/2024,SKU_1,20,Cust_2,Retail,45.89,Store,5
1/14/2024,SKU_1,7,Cust_6,Online,87.25,Distributor,4
1/14/2024,SKU_1,12,Cust_4,Wholesale,74,Store,4
1/14/2024,SKU_1,6,Cust_9,Online,45.78,Store,3
1/14/2024,SKU_1,8,Cust_8,Online,70.81,Website,2
1/15/2024,SKU_1,34,Cust_16,Online,56.5,Website,3
1/15/2024,SKU_1,22,Cust_1,Retail,90.75,Website,5
1/16/2024,SKU_1,16,Cust_19,Wholesale,87.07,Mobile App,5
1/16/2024,SKU_1,14,Cust_1,Wholesale,94.21,Distributor,3
1/16/2024,SKU_1,25,Cust_16,Retail,94.61,Website,2
1/17/2024,SKU_1,40,Cust_14,Retail,53.71,Store,5
1/17/2024,SKU_1,29,Cust_16,Wholesale,74.88,Distributor,2
1/18/2024,SKU_1,12,Cust_12,Wholesale,43.09,Store,3
1/18/2024,SKU_1,20,Cust_2,Online,55.24,Distributor,4
1/18/2024,SKU_1,13,Cust_1,Online,30.72,Distributor,4
1/18/2024,SKU_1,23,Cust_17,Retail,95.85,Website,3
1/19/2024,SKU_1,22,Cust_9,Online,93.55,Website,3
1/19/2024,SKU_1,17,Cust_1,Wholesale,25.25,Website,3
1/19/2024,SKU_1,24,Cust_3,Retail,18.75,Distributor,4
1/20/2024,SKU_1,13,Cust_10,Retail,39.03,Distributor,2
1/20/2024,SKU_1,15,Cust_9,Wholesale,73.8,Store,2
1/21/2024,SKU_1,19,Cust_13,Retail,10.47,Distributor,2
1/21/2024,SKU_1,19,Cust_20,Online,16.38,Mobile App,5
1/22/2024,SKU_1,28,Cust_2,Retail,49.46,Store,3
1/22/2024,SKU_1,34,Cust_19,Online,23.95,Mobile App,2
1/23/2024,SKU_1,27,Cust_20,Retail,84.03,Mobile App,4
1/23/2024,SKU_1,30,Cust_5,Online,84.51,Distributor,5
1/24/2024,SKU_1,10,Cust_13,Retail,58.66,Store,5
1/24/2024,SKU_1,16,Cust_20,Online,97.26,Mobile App,3
1/24/2024,SKU_1,14,Cust_19,Retail,17.06,Website,3
1/24/2024,SKU_1,12,Cust_9,Online,15.24,Mobile App,2
1/25/2024,SKU_1,21,Cust_16,Online,69.42,Website,2
1/25/2024,SKU_1,10,Cust_16,Online,76.41,Store,2
1/25/2024,SKU_1,12,Cust_12,Retail,42.04,Website,3
1/26/2024,SKU_1,71,Cust_14,Online,18.47,Mobile App,3
1/27/2024,SKU_1,17,Cust_16,Online,52.61,Website,3
1/27/2024,SKU_1,24,Cust_5,Wholesale,14.33,Mobile App,2
1/28/2024,SKU_1,8,Cust_19,Retail,55.09,Distributor,2
1/28/2024,SKU_1,7,Cust_13,Wholesale,94.98,Distributor,5
1/28/2024,SKU_1,13,Cust_12,Retail,61.6,Website,2
1/28/2024,SKU_1,10,Cust_19,Wholesale,94.73,Store,2
1/29/2024,SKU_1,53,Cust_13,Wholesale,43.95,Website,4
1/30/2024,SKU_1,33,Cust_3,Wholesale,16.41,Distributor,2
1/30/2024,SKU_1,26,Cust_4,Retail,72.71,Website,4
1/31/2024,SKU_1,65,Cust_4,Online,82.31,Website,5
2/1/2024,SKU_1,40,Cust_3,Online,75.85,Distributor,3
2/1/2024,SKU_1,18,Cust_17,Wholesale,62.25,Store,3
2/2/2024,SKU_1,13,Cust_13,Wholesale,77.91,Website,3
2/2/2024,SKU_1,21,Cust_17,Online,55.47,Distributor,2
2/2/2024,SKU_1,19,Cust_17,Online,91.48,Distributor,2
2/2/2024,SKU_1,13,Cust_7,Retail,70.91,Distributor,4
2/3/2024,SKU_1,15,Cust_3,Online,59.83,Website,5
2/3/2024,SKU_1,25,Cust_16,Online,20.21,Website,3
2/4/2024,SKU_1,18,Cust_5,Wholesale,89.89,Store,4
2/4/2024,SKU_1,15,Cust_18,Wholesale,22.87,Mobile App,3
2/5/2024,SKU_1,15,Cust_14,Online,30.03,Website,3
2/5/2024,SKU_1,15,Cust_2,Online,56.2,Mobile App,4
2/5/2024,SKU_1,21,Cust_20,Online,95.25,Website,2
2/5/2024,SKU_1,16,Cust_4,Retail,73.74,Store,2
2/6/2024,SKU_1,2,Cust_19,Wholesale,49.1,Website,2
2/6/2024,SKU_1,24,Cust_18,Retail,15.07,Distributor,5
2/6/2024,SKU_1,16,Cust_1,Wholesale,62.5,Mobile App,2
2/6/2024,SKU_1,10,Cust_17,Online,88.17,Mobile App,2
2/7/2024,SKU_1,18,Cust_16,Retail,93.22,Distributor,2
2/7/2024,SKU_1,33,Cust_4,Wholesale,72.59,Website,3
2/8/2024,SKU_1,28,Cust_1,Online,72.72,Store,5
2/8/2024,SKU_1,25,Cust_11,Retail,95.54,Distributor,3
2/8/2024,SKU_1,33,Cust_8,Retail,26.93,Mobile App,5
2/9/2024,SKU_1,25,Cust_18,Online,97.7,Distributor,4
2/9/2024,SKU_1,32,Cust_1,Online,83.24,Distributor,5
2/10/2024,SKU_1,42,Cust_13,Retail,16.86,Mobile App,3
2/11/2024,SKU_1,14,Cust_2,Retail,93.95,Mobile App,4
